k_subset,language,n_unsafe_prompts,n_models_available,best_single_model,best_single_model_short,best_single_model_recall,oracle_or_recall_any_model,missed_by_all_rate,complementarity_gap
3,Norwegian,151,5,wildguard,WildGuard,0.9867549668874173,1.0,0.0,0.013245033112582738
3,Gujarati,157,5,wildguard,WildGuard,0.9871794871794872,1.0,0.0,0.012820512820512775
3,Ukrainian,158,5,wildguard,WildGuard,0.9810126582278481,0.9936708860759493,0.006329113924050633,0.012658227848101222
3,Occitan,191,5,wildguard,WildGuard,0.9894736842105263,1.0,0.0,0.010526315789473717
3,Icelandic,145,5,wildguard,WildGuard,0.9930555555555556,1.0,0.0,0.00694444444444442
3,Marathi,146,5,wildguard,WildGuard,0.993103448275862,1.0,0.0,0.006896551724137945
3,Tamil,151,5,wildguard,WildGuard,0.9933333333333333,1.0,0.0,0.00666666666666671
3,Macedonian,152,5,wildguard,WildGuard,0.993421052631579,1.0,0.0,0.006578947368421018
3,Pashto,152,5,wildguard,WildGuard,0.993421052631579,1.0,0.0,0.006578947368421018
3,Spanish,156,5,wildguard,WildGuard,0.987012987012987,0.9935897435897436,0.00641025641025641,0.006576756576756604
3,Malay,155,5,wildguard,WildGuard,0.9934640522875817,1.0,0.0,0.006535947712418277
3,Turkish,154,5,wildguard,WildGuard,0.9934640522875817,1.0,0.0,0.006535947712418277
3,Danish,157,5,wildguard,WildGuard,0.9807692307692307,0.9872611464968153,0.012738853503184714,0.006491915727584563
3,Azerbaijani,155,5,wildguard,WildGuard,0.9935483870967742,1.0,0.0,0.006451612903225823
3,German,155,5,wildguard,WildGuard,0.9935483870967742,1.0,0.0,0.006451612903225823
3,Catalan,158,5,wildguard,WildGuard,0.9935897435897436,1.0,0.0,0.0064102564102563875
3,Afrikaans,157,5,wildguard,WildGuard,0.9936305732484076,1.0,0.0,0.006369426751592355
3,Portuguese,157,5,wildguard,WildGuard,0.9872611464968153,0.9936305732484076,0.006369426751592357,0.006369426751592355
3,Indonesian,160,5,wildguard,WildGuard,0.99375,1.0,0.0,0.006249999999999978
3,Oriya (Odia),189,5,wildguard,WildGuard,0.9946808510638298,1.0,0.0,0.005319148936170248
3,Dutch,152,5,wildguard,WildGuard,0.9867549668874173,0.9868421052631579,0.013157894736842105,8.713837574059191e-05
3,Romanian,157,5,wildguard,WildGuard,0.9935897435897436,0.9936305732484076,0.006369426751592357,4.082965866403221e-05
3,Asturian,199,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Bosnian,151,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Burmese,142,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Cebuano,194,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Chinese (Traditional),128,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Croatian,155,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Czech,155,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Estonian,154,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Finnish,151,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Fula,145,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Galician,159,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Ganda,170,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Georgian,116,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Greek,157,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Hausa,95,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Hindi,156,5,wildguard,WildGuard,0.9935897435897436,0.9935897435897436,0.00641025641025641,0.0
3,Hungarian,151,5,wildguard,WildGuard,0.9801324503311258,0.9801324503311258,0.019867549668874173,0.0
3,Irish,153,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Japanese,134,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Javanese,147,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Kannada,156,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Kazakh,146,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Khmer,147,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Korean,141,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Kyrgyz,138,5,wildguard,WildGuard,0.9782608695652174,0.9782608695652174,0.021739130434782608,0.0
3,Lao,149,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Latvian,149,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Lithuanian,150,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Luxembourgish,198,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Maltese,199,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Nepali,158,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Polish,151,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Punjabi,155,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Serbian,158,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
3,Shona,184,5,wildguard,WildGuard,1.0,1.0,0.0,0.0
